Comune;Provincia;Nome;Descrizione;Scheda;Immagine;Descrizione immagine;Sottofamiglia;Indirizzo;Localita;Redazione locale;Data di esportazione;Latitudine;Longitudine
PARMA;PARMA;Pizzeria Al veliero;l ristorante propone cucina mediterranea, tradizionale, pizze e pesce, su richiesta menù turistici. I posti a sedere, distribuiti su cinque sale, sono 240 al coperto e 350 all'aperto. Aria condizionata. Lingue parlate inglese e francese, si accettano gruppi e scolaresche.;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-al-veliero;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-al-veliero/immagine1;Pizzeria Al veliero;RISTORANTI, PIZZERIE, AGRITURISMI;Via Emilio Lepido, 29/A - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria Arca del molinetto;"L'ampio locale propone piatti di cucina tipica, pizza, carne alla griglia e degustazioni di mare; discreta la scelta di etichette locali. I posti in sala interna sono 80, più 120 in un'altra sala attigua. Il locale accetta gruppi e scolaresche, anche con pranzo al sacco. All'interno del parco ...";http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-arca-del-molinetto;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-arca-del-molinetto/immagine1;Pizzeria Arca del molinetto;RISTORANTI, PIZZERIE, AGRITURISMI;Strada Cavagnari, 3 - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria California;Il locale, piuttosto ampio, con 100 posti al coperto in sale climatizzate, offre cucina tipica parmigiana, pizza, specialità di pesce, dolci casalinghi. La lista dei vini include 120 etichette nazionali. A richiesta si preparano menù turistici e pasti convenzione a prezzo fisso, possibilità di ...;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-california;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-california/immagine1;Pizzeria California;RISTORANTI, PIZZERIE, AGRITURISMI;Via Cremonese, 164 - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria Da chi ragàs;Il locale, collocato nella piazza principale della città, propone pizze, panini e yogurteria. I posti a sedere sono 35 all'interno, in un elegante saletta posta al primo piano e 80 all'esterno in estate. Aria condizionata. Lingue parlate dal personale inglese. Si accettano gruppi su ...;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-da-chi-ragas;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-da-chi-ragas/immagine1;Pizzeria Da chi ragàs;RISTORANTI, PIZZERIE, AGRITURISMI;Piazza Garibaldi, 19/E - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria Da Filippo;Da Filippo è un locale molto versatile dove è possibile fermarsi velocemente a mangiare a banco un piatto di pasta, un trancio di pizza, sfornata sul momento o qualche prelibatezza come arrosticini, torte salate, pesto di cavallo oppure sedersi ad un tavolo nella piccola taverna con circa 30 ...;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-da-filippo;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-da-filippo/immagine1;Pizzeria Da Filippo;RISTORANTI, PIZZERIE, AGRITURISMI;Strada Mazzini, 41/A - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria Dal Teo;Il piccolo locale, rustico e molto accogliente, è dotato di 34 posti al coperto più altri 14 all'esterno su via D'Azeglio. Dal Teo è famoso per i suoi tranci di pizza alta. La cucina offre inoltre alcuni piatti della tradizione parmigiana.;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-dal-teo;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-dal-teo/immagine1;Pizzeria Dal Teo;RISTORANTI, PIZZERIE, AGRITURISMI;Piazza Filippo Corridoni, 15/E - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria Da Luca;La struttura, moderna e accogliente, è suddivisa in un'unica sala climatizzata con circa 100 posti a sedere e 20 all'aperto. Specialità della casa sono le pizze, sia basse tradizionali che alte in teglia, salumi e cucina con specialità carne alla griglia. Lingua parlata inglese. Su prenotazione ...;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-da-luca;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-da-luca/immagine1;Pizzeria Da Luca;RISTORANTI, PIZZERIE, AGRITURISMI;Vle Fratti Antonio, 24/B - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria Da Peppino;Da Peppino offre cucina tipica, pizze e tra le specialità pesce. I posti al coperto sono 100 all'interno con aria condizionata e 90 all'aperto in estate.;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-da-peppino;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-da-peppino/immagine1;Pizzeria Da Peppino;RISTORANTI, PIZZERIE, AGRITURISMI;Via Emilio Lepido, 201 - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria Dolce vita;Il locale, semplice e giovane, dispone di 70 posti al coperto in tre sale climatizzate e di altri 100 posti all'aperto su Via Farini. Viene proposta cucina tipica, pizze e piatti di pesce. Annesso al ristorante vi è il bar che è sempre aperto per uno spuntino più veloce. La lista dei vini ...;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-dolce-vita;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-dolce-vita/immagine1;Pizzeria Dolce vita;RISTORANTI, PIZZERIE, AGRITURISMI;Strada Farini, 16/B - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria Don Alfonso;Don Alfonso è un locale moderno ampio e accogliente con 100 posti al coperto, suddivisi in due sale con aria condizionata. La cucina offre pizze, normali o tirate, ma anche piatti di cucina internazionale, con particolare riguardo al pesce, fritture, grigliate e primi piatti. Le portate sono ...;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-don-alfonso;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-don-alfonso/immagine1;Pizzeria Don Alfonso;RISTORANTI, PIZZERIE, AGRITURISMI;Via Emilia Est, 1 - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria Don Giovanni;Il ristorante propone cucina nazionale, pizza e pesce. Menu speciali per persone intolleranti al glutine. Pizze d'asporto. A disposizione 100 posti all'interno e 170 all'esterno. Si parla anche inglese.;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-don-giovanni;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-don-giovanni/immagine1;Pizzeria Don Giovanni;RISTORANTI, PIZZERIE, AGRITURISMI;Str Langhirano, 431/A - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria Il gabbiano;La pizzeria, ampia, elegante e climatizzata, con 130 posti al coperto e un centinaio all'aperto, offre pizza tradizionale e al metro, sia a pranzo che a cena, piatti di cucina tipica parmigiana e pesce. La lista dei vini include circa 250 etichette di vini nazionali. Su prenotazione si preparano ...;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-il-gabbiano;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-il-gabbiano/immagine1;Pizzeria Il gabbiano;RISTORANTI, PIZZERIE, AGRITURISMI;Via Morigi Nicola, 10/A - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria La botte;Piccolo locale con una quarantina di posti a sedere. La botte è un locale semplice che offre pizze e piatti freddi. La pizzeria effettua anche servizio d'asporto e pizza al taglio.;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-la-botte;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-la-botte/immagine1;Pizzeria La botte;RISTORANTI, PIZZERIE, AGRITURISMI;VIA MONTE ALTISSIMO, 4/B - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria La brace;Il ristorante propone una cucina tipica, specialità alla griglia, carne e pesce e una lista vini con 10 etichette nazionali: I posti a sedere, distribuiti su tre sale sono 150 al coperto e 150 all'aperto.;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-la-brace;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-la-brace/immagine1;Pizzeria La brace;RISTORANTI, PIZZERIE, AGRITURISMI;Strada Abbeveratoia, 55/A - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria La certosa;"La pizzeria, collocata nella zona est rispetto al centro città offre pizze e specialità pesce. Circa 40 i vini italiani, prevalentemente bianchi. I posti a sedere sono 70 al coperto, in sale con aria condizionata; in estate 60 all'aperto. Lingue parlate dal personale inglese e francese.";http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-la-certosa;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-la-certosa/immagine1;Pizzeria La certosa;RISTORANTI, PIZZERIE, AGRITURISMI;Ple Lubiana, 21/A - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria La duchessa;"Il ristorante propone cucina parmigiana e mediterranea, pizze con forno a legna, grigliate di pesce e di carne; specialità tagliatelle Duchessa e gamberoni, a richiesta menù turistici. La lista dei vini comprende 15 etichette nazionali e locali. I posti a sedere sono 96 al coperto in sale con ...";http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-la-duchessa;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-la-duchessa/immagine1;Pizzeria La duchessa;RISTORANTI, PIZZERIE, AGRITURISMI;Piazza Garibaldi, 1/B - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria La perla;Il ristorante propone cucina di pesce, mediterranea con discreta scelta di etichette nazionali. I posti a sedere interni sono 100 in sale climatizzate. Si parla inglese. Accettazione gruppi.;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-la-perla;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-la-perla/immagine1;Pizzeria La perla;RISTORANTI, PIZZERIE, AGRITURISMI;Via La Spezia, 61 - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria La tirolese;Il locale, semplice e accogliente propone piatti di cucina mediterranea, pizza e una discreta scelta di etichette nazionali ed estere. I posti a sedere sono 80.;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-la-tirolese;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-la-tirolese/immagine1;Pizzeria La tirolese;RISTORANTI, PIZZERIE, AGRITURISMI;Via S.leonardo, 68/A - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria La vela;Il ristorante propone menù di pizze, pesce e alcuni piatti di cucina tipica, su richiesta menù turistici. La lista dei vini comprende 20 etichette nazionali. I posti a sedere nelle due sale climatizzate interne sono 220. Lingua parlata inglese. Accettazione gruppi.;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-la-vela;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-la-vela/immagine1;Pizzeria La vela;RISTORANTI, PIZZERIE, AGRITURISMI;Str Montanara, 85/A - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria La zagara;Il ristorante pizzeria è un ambiente moderno con una sala principale a semicerchio e una saletta adiacente. Il menù include piatti di pesce di mare e pizza. I posti a sedere sono 60 collocati in sale con aria condizionata.;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-la-zagara;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-la-zagara/immagine1;Pizzeria La zagara;RISTORANTI, PIZZERIE, AGRITURISMI;Via La Spezia, 226 - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria Luna Blu;Il ristorante, recentemente ristrutturato, propone piatti di cucina emiliana, pizze e pesce. I posti a sedere sono 130 al coperto e 40 all'aperto. Il locale è dotato di aria condizionata. Si parla anche inglese e francese. Menu in lingua.;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-luna-blu;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-luna-blu/immagine1;Pizzeria Luna Blu;RISTORANTI, PIZZERIE, AGRITURISMI;Via Gramsci Antonio, 11/A - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria Nuovo Stile Zefiro;Il ristorante propone cucina nazionale, in particolare pesce e pizze. I posti al coperto sono 80 in sale con aria condizionata e altrettanti posti all'aperto in estate.;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-nuovo-stile-zefiro;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-nuovo-stile-zefiro/immagine1;Pizzeria Nuovo Stile Zefiro;RISTORANTI, PIZZERIE, AGRITURISMI;Via Pertini, 10/A - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria Orfeo;Il ristorante propone cucina mediterranea e pizze. La lista dei vini comprende 150 etichette tra nazionali ed estere. I posti a sedere sono 120 al coperto collocati in tre sale con aria condizionata, in estate all'aperto i posti sono 30. Si accettano gruppi.;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-orfeo;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-orfeo/immagine1;Pizzeria Orfeo;RISTORANTI, PIZZERIE, AGRITURISMI;Via Carducci, 5 - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria Portello;Il moderno locale propone pizze e alcuni piatti da ristorante. Birre e vini locali. I posti a sedere sono 65 all'interno e 60 all'esterno nel periodo estivo. Si accettano piccoli gruppi.;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-portello;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-portello/immagine1;Pizzeria Portello;RISTORANTI, PIZZERIE, AGRITURISMI;Via Venezia, 46 - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria Real Mc Coy;Il locale, moderno e accogliente, con 100 posti a sedere all'interno e 30 in estate esterni, offre vari piatti caldi, panini e pizze. La lista dei vini è composta esclusivamente di etichette nazionali. Aria condizionata. Lingue parlate inglese.;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-real-mc-coy;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-real-mc-coy/immagine1;Pizzeria Real Mc Coy;RISTORANTI, PIZZERIE, AGRITURISMI;LGO BOCCHI FAUSTO, 43/A - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria Rosso pomodoro;Situata al primo piano del centro commerciale Barilla center, la pizzeria Rosso Pomodoro dispone di un'unica grande sala da 86 posti, con tavoli alti con sgabelli o tavolini bassi con divanetti. All'esterno sono collocati altri 40 posti nella galleria del centro commerciale. L'ambiente è ...;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-rosso-pomodoro;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-rosso-pomodoro/immagine1;Pizzeria Rosso pomodoro;RISTORANTI, PIZZERIE, AGRITURISMI;Lgo Bocchi Fausto, 39/A - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria San Marte';Il ristorante propone cucina tipica, pesce e pizze, a richiesta menù turistici per gruppi. La lista dei vini comprende circa 100 etichette nazionali e estere. I posti a sedere sono 100 al coperto e 45 all'aperto. Si parla inglese.;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-san-marte;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-san-marte/immagine1;Pizzeria San Marte';RISTORANTI, PIZZERIE, AGRITURISMI;Via De Gasperi Alcide, 1 - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria San Martino;Il ristorante propone cucina mediterranea e pizze con 80 vini nazionali in un ambiente moderno ed elegante con aria condizionata. I posti a sedere sono 90 al coperto e 130 all'aperto. Disponibile una sala per fumatori.;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-san-martino;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-san-martino/immagine1;Pizzeria San Martino;RISTORANTI, PIZZERIE, AGRITURISMI;Vle S.martino, 2 - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria Tirolesina;Il ristorante propone cucina tipica, pizze e pesce in un ambiente semplice. I posti a sedere sono 60 al coperto e 50 all'aperto. Inglese parlato dal personale.;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-tirolesina;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-tirolesina/immagine1;Pizzeria Tirolesina;RISTORANTI, PIZZERIE, AGRITURISMI;Str Zarotto Antonio, 61/A - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria Tramonti;Il ristorante propone cucina napoletana, piatti di mare, pizze e pizze al metro. I posti a sedere sono 200 collocati su due piani. Aria condizionata. A disposizione degli ospiti ampio parcheggio.;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-tramonti;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-tramonti/immagine1;Pizzeria Tramonti;RISTORANTI, PIZZERIE, AGRITURISMI;Str Traversetolo, 161 - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria Un posto al sole;Il ristorante offre cucina mediterranea, pizze e pesce in un ambiente semplice e moderno con 150 posti a sedere.;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-un-posto-al-sole;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-un-posto-al-sole/immagine1;Pizzeria Un posto al sole;RISTORANTI, PIZZERIE, AGRITURISMI;Vle Vittoria, 43/A - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzeria Verdi Ricordi;Le pizzeria offre cucina tipica, mediterranea, pesci e carni alla brace, pizze con 2 forni a legna in un locale rustico ed elegantemente arredato, con 300 posti al coperto e 400 all'aperto.;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-verdi-ricordi;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzeria-verdi-ricordi/immagine1;Pizzeria Verdi Ricordi;RISTORANTI, PIZZERIE, AGRITURISMI;Via Casello Poldi, 3/A - Parma (PR);;Parma;42132;;
PARMA;PARMA;Pizzoteca Tuatanga;La struttura serve vari tipi di pizza, tra cui la speciale pizza al tegamino, inoltre primi piatti, carne e torta fritta. I posti a sedere sono 60 all'interno in sale con aria condizionata e 15 esterni in estate. Lingue parlata inglese, francese e spagnolo.;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzoteca-tuatanga;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/pizzoteca-tuatanga/immagine1;Pizzoteca Tuatanga;RISTORANTI, PIZZERIE, AGRITURISMI;Vle Fratti Antonio, 22 - Parma (PR);;Parma;42132;;
PARMA;PARMA;Ristorante 51/A Restaurant;Il ristorante 51/A Restaurant si trova all'interno del Best Western Hotel Farnese , dispone di circa 130 posti al coperto collocati in due sale con aria condizionata. Propone piatti della cucina tipica ed internazionale, accompagnati da una cantina che conta un'ampia selezione di etichette. A ...;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/ristorante-51-a-restaurant;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/ristorante-51-a-restaurant/immagine1;Ristorante 51/A Restaurant;RISTORANTI, PIZZERIE, AGRITURISMI;Via Reggio, 51/A - Parma (PR);;Parma;42132;;
PARMA;PARMA;Ristorante Africa due;Ristorante a gestione familiare con cucina tipica eritrea e parmigiana, pizzeria e cous cous. Doppia sala interna ed esterna, con zona fumatori estiva. Disponibili per feste di laurea, Pranzi e Cene di gruppo e piccoli ricevimenti. Servizi per disabili. Inglese e francese parlato dal personale.;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/ristorante-africa-due;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/ristorante-africa-due/immagine1;Ristorante Africa due;RISTORANTI, PIZZERIE, AGRITURISMI;Viale Mentana, 80/A - Parma (PR);;Parma;42132;;
PARMA;PARMA;Ristorante agriturismo Ciato;Tipica fattoria della campagna parmense, l'agriturismo Ciato, che dispone di 50 posti al coperto e altri 100 all'aperto, offre cucina tipica pedemontana, con prodotti tipici, menù vegetariani, degustazioni. L'agriturismo organizza corsi di cucina e fattorie didattiche. Si parla inglese.;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/ristorante-agriturismo-ciato;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/ristorante-agriturismo-ciato/immagine1;Ristorante agriturismo Ciato;RISTORANTI, PIZZERIE, AGRITURISMI;Str Pilastro, 8 - Parma (PR);;Parma;42132;;
PARMA;PARMA;Ristorante Al tramezzo;Il locale, elegante e accogliente sui toni caldi del legno, dispone di 45 posti al coperto, più 45 all'esterno. La cucina offre piatti a base di pesce, alcuni piatti tipici e prodotti di produzione propria per la maggior parte di coltivazione biologica ponendo particolare attenzione ai diversi ...;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/ristorante-al-tramezzo;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/ristorante-al-tramezzo/immagine1;Ristorante Al tramezzo;RISTORANTI, PIZZERIE, AGRITURISMI;Via Del Bono, 5/B - Parma (PR);;Parma;42132;;
PARMA;PARMA;Ristorante Ambizione;Il ristorante, intimo e curato nei particolari, propone piatti di cucina italiana regionale creativa con alcuni piatti sudamericani e asiatici. Buona la scelta di vini e birre. I posti a sedere sono 30 collocati in un'unica sala con aria condizionata. Su prenotazione per gruppi cene dopo teatro. ...;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/ristorante-ambizione;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/ristorante-ambizione/immagine1;Ristorante Ambizione;RISTORANTI, PIZZERIE, AGRITURISMI;Borgo Marodolo, 8/A - Parma (PR);;Parma;42132;;
PARMA;PARMA;Ristorante Angiol d'or;Il ristorante intende proporre ai clienti le specialità locali e non solo, in un ambiente informale e accogliente con la splendida vista del Duomo e del Battistero. Il locale, con aria condizionata, dispone di 90 posti a sedere distribuiti tra la sala interna e la veranda esterna. Carta dei vini ...;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/ristorante-angiol-dor;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/ristorante-angiol-dor/immagine1;Ristorante Angiol d'or;RISTORANTI, PIZZERIE, AGRITURISMI;Piazza Duomo - Parma (PR);;Parma;42132;;
PARMA;PARMA;Ristorante Antica cereria;"Il locale molto rustico e accogliente dispone di 115 posti all'interno. La cucina propone piatti della tradizione locale ma rivisitati con creatività. La cantina, visitabile, è il vero gioiello del locale; dispone di 400 etichette nazionali ed alcune estere con una vasta scelta di distillati. ...";http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/ristorante-antica-cereria;http://www.turismo.comune.parma.it/it/canali-tematici/ospitalita/dove-mangiare/ristoranti-pizzerie-agriturismi/ristorante-antica-cereria/immagine1;Ristorante Antica cereria;RISTORANTI, PIZZERIE, AGRITURISMI;Borgo Tanzi, 5 - Parma (PR);;Parma;42132;;
